classificacao_manuela,id,text
1,1641952563569238018,20:56 13 minutos sentido rio fluxo normal
1,1641952560767533056,20:56 25 minutos sentido niterói lentidão grande reta pedágio
1,1641947439044149248,20:35 30 minutos saída sentido niterói lentidão pedágio
1,1641947436833808385,20:35 30 minutos acesso sentido niterói lentidão
1,1641947435495768067,20:35 13 minutos sentido rio fluxo normal
1,1641947433348263938,20:35 30 minutos sentido niterói lentidão reta cais pedágio
1,1641942331271127042,20:15 35 minutos acesso sentido niterói lentidão
1,1641942328091856897,20:15 35 minutos sentido niterói lentidão reta cais pedágio
1,1641937473830879233,19:56 42 minutos saída sentido niterói lentidão pedágio
1,1641937472555810817,19:56 42 minutos acesso sentido niterói lentidão
1,1641937471112880130,19:56 13 minutos sentido rio fluxo normal
1,1641932360005369859,19:35 45 minutos saída sentido niterói lentidão pedágio
1,1641932352652754946,19:35 45 minutos acesso sentido niterói lentidão
1,1641932350027186176,19:35 13 minutos sentido rio fluxo normal
1,1641932348206772226,19:35 45 minutos sentido niterói lentidão reta cais pedágio
1,1641927256195964928,19:15 45 minutos saída sentido niterói lentidão pedágio
1,1641927254992203777,19:15 45 minutos acesso sentido niterói lentidão
1,1641927252110725120,19:15 13 minutos sentido rio fluxo normal
1,1641927250843955201,19:15 45 minutos sentido niterói lentidão reta cais pedágio
1,1641922387837845505,18:56 45 minutos acesso sentido niterói lentidão
1,1641922386613116928,18:56 13 minutos sentido rio fluxo normal
1,1641922385199747075,18:56 45 minutos sentido niterói lentidão reta cais pedágio
1,1641917286721236994,18:35 40 minutos acesso sentido niterói lentidão
1,1641917284099796992,18:35 13 minutos sentido rio fluxo normal
1,1641917281826373632,18:35 40 minutos sentido niterói lentidão reta cais pedágio
1,1641916555834343425,fluxo normal rio 13 minutos
1,1641912169427075075,18:15 48 minutos acesso sentido niterói lentidão
1,1641912163374694400,18:15 13 minutos sentido rio fluxo normal
1,1641912161940254720,18:15 48 minutos sentido niterói lentidão reta cais pedágio
1,1641907555168403457,atenção ocorrência reta cais sentido niterói duas faixas interditadas travessia 48 minutos
1,1641907280605061120,17:56 44 minutos acesso sentido niterói lentidão
1,1641902159770836995,17:35 13 minutos sentido rio fluxo normal
1,1641897041096855568,17:15 47 minutos acesso sentido niterói lentidão
1,1641897038903234578,17:15 13 minutos sentido rio fluxo normal
1,1641897036705419283,17:15 47 minutos sentido niterói lentidão reta cais pedágio
1,1641892172499767313,16:56 39 minutos acesso sentido niterói lentidão
1,1641892171249864709,16:56 13 minutos sentido rio fluxo normal
1,1641892169626599424,16:56 39 minutos sentido niterói lentidão reta cais pedágio
1,1641887032040366080,16:35 39 minutos acesso sentido niterói lentidão
1,1641887030673014785,16:35 13 minutos sentido rio fluxo normal
1,1641881921364938764,16:15 39 minutos acesso sentido niterói lentidão
1,1641881919905320965,16:15 13 minutos sentido rio fluxo normal
1,1641881911499927552,16:15 39 minutos sentido niterói lentidão reta cais pedágio
1,1641877057599594515,15:56 36 minutos acesso sentido niterói lentidão
1,1641877056202891310,15:56 13 minutos sentido rio fluxo normal
1,1641877053237522432,15:56 36 minutos sentido niterói lentidão reta cais pedágio
1,1641871935351971850,15:35 13 minutos sentido rio fluxo normal
1,1641871933493895170,15:35 36 minutos sentido niterói lentidão reta cais pedágio
1,1641866819714572295,15:15 27 minutos sentido niterói lentidão grande reta pedágio
1,1641861955114659840,14:56 13 minutos sentido rio fluxo normal
1,1641861953952817152,14:56 23 minutos sentido niterói lentidão mocanguê pedágio
1,1641856848356597777,14:35 13 minutos sentido rio fluxo normal
1,1641856847236718598,14:35 19 minutos sentido niterói lentidão mocanguê pedágio
1,1641851742865195015,14:15 13 minutos sentido rio fluxo normal
1,1641851740109537281,14:15 19 minutos sentido niterói lentidão mocanguê pedágio
1,1641846867024654337,13:56 13 minutos sentido rio fluxo normal
1,1641846864256303118,13:56 16 minutos sentido niterói lentidão pedágio
1,1641836652170551297,13:15 13 minutos sentido rio fluxo normal
1,1641836648416649216,13:15 16 minutos sentido niterói lentidão pedágio
1,1641831794684092418,12:56 13 minutos sentido rio fluxo normal
1,1641831793472024576,12:56 16 minutos sentido niterói lentidão pedágio
1,1641826674307211265,12:35 13 minutos sentido rio fluxo normal
1,1641826672046424064,12:35 16 minutos sentido niterói lentidão pedágio
1,1641816669323509762,11:56 13 minutos sentido rio fluxo normal
1,1641816668165791746,11:56 13 minutos sentido niterói fluxo normal
1,1641811541434531841,11:35 13 minutos sentido rio fluxo normal
1,1641811540184559618,11:35 13 minutos sentido niterói fluxo normal
1,1641806422986960896,11:15 13 minutos sentido rio fluxo normal
1,1641806421107912706,11:15 13 minutos sentido niterói fluxo normal
1,1641801577806569480,10:56 16 minutos sentido rio lentidão reta cais
1,1641801576577744898,10:56 16 minutos saída sentido rio lentidão reta cais
1,1641801575256535042,10:56 13 minutos sentido niterói fluxo normal
1,1641796469173755905,10:35 13 minutos sentido niterói fluxo normal
1,1641791366261866497,10:15 23 minutos sentido rio lentidão grande curva reta cais
1,1641791363468369922,10:15 23 minutos saída sentido rio lentidão reta cais
1,1641791359177596928,10:15 13 minutos sentido niterói fluxo normal
1,1641786479469907969,09:56 23 minutos sentido rio lentidão grande reta reta cais
1,1641786478152888321,09:56 23 minutos saída sentido rio lentidão reta cais
1,1641786476974178306,09:56 13 minutos sentido niterói fluxo normal
1,1641781363111018497,09:35 23 minutos sentido rio lentidão grande reta reta cais
1,1641781361861173258,09:35 23 minutos saída sentido rio lentidão reta cais
1,1641781360670003200,09:35 13 minutos sentido niterói fluxo normal
1,1641776229010251776,09:15 29 minutos sentido rio lentidão descida vão central reta cais
1,1641776227869507585,09:15 29 minutos saída sentido rio lentidão reta cais
1,1641776225701052417,09:15 13 minutos sentido niterói fluxo normal
1,1641771380881473537,08:56 34 minutos sentido rio lentidão descida vão central reta cais
1,1641771374506123264,08:56 34 minutos saída sentido rio lentidão reta cais
1,1641771372971020295,08:56 13 minutos sentido niterói fluxo normal
1,1641766271862677504,08:35 34 minutos sentido rio lentidão descida vão central reta cais
1,1641766269627006978,08:35 34 minutos saída sentido rio lentidão reta cais
1,1641766268331077639,08:35 13 minutos sentido niterói fluxo normal
1,1641761156728782850,08:15 34 minutos sentido rio lentidão descida vão central reta cais
1,1641761155357069312,08:15 34 minutos saída sentido rio lentidão reta cais
1,1641756310512304129,07:56 28 minutos sentido rio lentidão grande curva reta cais
1,1641756308243206144,07:56 28 minutos saída sentido rio lentidão reta cais
1,1641756304984121346,07:56 13 minutos sentido niterói fluxo normal
1,1641756303755182081,07:56 28 minutos sentido rio lentidão acessos mocanguê
1,1641751185768980481,07:35 24 minutos saída sentido rio lentidão reta cais
1,1641751183269273600,07:35 24 minutos acesso sentido rio lentidão
1,1641751180215832576,07:35 24 minutos sentido rio lentidão acessos mocanguê
1,1641746072581046273,07:15 22 minutos acesso sentido rio lentidão
1,1641746067095003138,07:15 22 minutos sentido rio lentidão acessos mocanguê
1,1641741208459280385,06:56 25 minutos acesso sentido rio lentidão
1,1641741207079354368,06:56 13 minutos sentido niterói fluxo normal
1,1641741206001426434,06:56 25 minutos sentido rio lentidão acessos mocanguê
1,1641736081191084032,06:35 15 minutos acesso sentido rio lentidão
1,1641736079794372615,06:35 13 minutos sentido niterói fluxo normal
1,1641730970192691200,06:15 15 minutos acesso sentido rio lentidão
1,1641730964626833410,06:15 13 minutos sentido niterói fluxo normal
1,1641726088266088448,05:56 13 minutos sentido niterói fluxo normal
1,1641720965871616000,05:35 13 minutos sentido niterói fluxo normal
1,1641720964684607488,05:35 13 minutos sentido rio fluxo normal
1,1641715844051787778,05:15 13 minutos sentido niterói fluxo normal
1,1641710959440941057,04:56 13 minutos sentido rio fluxo normal
1,1641705852523405314,04:35 13 minutos sentido niterói fluxo normal
1,1641705851260993536,04:35 13 minutos sentido rio fluxo normal
1,1641700720658243586,04:15 13 minutos sentido rio fluxo normal
1,1641695851293622272,03:56 13 minutos sentido niterói fluxo normal
1,1641695848634413059,03:56 13 minutos sentido rio fluxo normal
1,1641690738588106752,03:35 13 minutos sentido rio fluxo normal
1,1641685624015953924,03:15 13 minutos sentido niterói fluxo normal
1,1641680747898585091,02:56 13 minutos sentido niterói fluxo normal
1,1641680746770202624,02:56 13 minutos sentido rio fluxo normal
1,1641675646588813315,02:35 13 minutos sentido rio fluxo normal
1,1641670532448886787,02:15 13 minutos sentido niterói fluxo normal
1,1641670531027009537,02:15 13 minutos sentido rio fluxo normal
1,1641665692981252096,01:56 13 minutos sentido niterói fluxo normal
1,1641665691693490177,01:56 13 minutos sentido rio fluxo normal
1,1641660580103614464,01:35 13 minutos sentido niterói fluxo normal
1,1641660576391725060,01:35 13 minutos sentido rio fluxo normal
1,1641635489185767427,23:56 13 minutos sentido rio fluxo normal
1,1641630376228536325,23:35 13 minutos sentido rio fluxo normal
1,1641625255742525448,23:15 13 minutos sentido niterói fluxo normal
1,1641625254417031170,23:15 13 minutos sentido rio fluxo normal
1,1641620389729038341,22:56 13 minutos sentido niterói fluxo normal
1,1641620386939908099,22:56 13 minutos sentido rio fluxo normal
1,1641610387228356608,22:16 13 minutos sentido rio fluxo normal
1,1641610178482040832,22:15 13 minutos sentido niterói fluxo normal
1,1641605272366989313,21:56 13 minutos sentido rio fluxo normal
1,1641600152761782275,21:35 13 minutos sentido niterói fluxo normal
1,1641600150089916416,21:35 13 minutos sentido rio fluxo normal
1,1641595046041473026,21:15 13 minutos sentido niterói fluxo normal
1,1641595043889700866,21:15 13 minutos sentido rio fluxo normal
1,1641590183467335689,20:56 13 minutos sentido rio fluxo normal
1,1641585071298695168,20:35 13 minutos sentido niterói fluxo normal
1,1641585068702302208,20:35 13 minutos sentido rio fluxo normal
1,1641579965153005570,20:15 13 minutos sentido niterói fluxo normal
1,1641575103459631105,19:56 16 minutos sentido niterói lentidão pedágio
1,1641575102201442306,19:56 13 minutos sentido rio fluxo normal
1,1641569995250442243,19:35 22 minutos sentido niterói lentidão descida vão central pedágio
1,1641569993799106561,19:35 13 minutos sentido rio fluxo normal
