vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1

Pt-BR_Word2Vec,50,cnn,0,41.433205600000065,46.95904810000002,0.9909713574097135,0.9920985670282577,0.9885241526554577,0.9903081344829892
Pt-BR_Word2Vec,50,cnn,1,42.83402079999996,38.98398909999992,0.9907222914072229,0.9911729303196469,0.9889244729116626,0.9900474250217087
Pt-BR_Word2Vec,50,cnn,2,47.082428300000174,41.3693267000001,0.9904732254047323,0.9906429621708328,0.9889244729116626,0.9897829716193656
Pt-BR_Word2Vec,50,cnn,3,46.421173899999985,39.66126529999997,0.9907222914072229,0.991304347826087,0.988791032826261,0.9900460952635447
Pt-BR_Word2Vec,50,cnn,4,62.155143599999974,42.40512290000015,0.9907845579078456,0.9934175174637292,0.9867894315452362,0.9900923818449592
Pt-BR_Word2Vec,50,cnn,5,45.16604789999997,39.47828350000009,0.9911581569115816,0.9914438502673797,0.9895916733386709,0.9905168959529852
Pt-BR_Word2Vec,50,cnn,6,54.979417999999896,55.0860239000001,0.9914072229140722,0.991711229946524,0.9898585535094743,0.9907840256444505
Pt-BR_Word2Vec,50,cnn,7,43.32400940000002,40.793656300000066,0.9912204234122043,0.9918394648829432,0.9893247931678676,0.9905805331017437
Pt-BR_Word2Vec,50,cnn,8,44.90072789999999,66.6700651000001,0.990535491905355,0.9915640064274237,0.9881238323992527,0.9898409303569042
Pt-BR_Word2Vec,50,cnn,9,46.04420190000019,51.345284600000014,0.9910336239103362,0.9918361884368309,0.9889244729116626,0.9903781905652813
Pt-BR_Word2Vec,100,cnn,0,82.92552139999998,65.81049439999993,0.9914694894146949,0.9914495657982632,0.9902588737656792,0.9908538620735696
Pt-BR_Word2Vec,100,cnn,1,90.0939741000002,42.91992089999985,0.9916562889165629,0.9913217623497997,0.9907926341072858,0.9910571276027762
Pt-BR_Word2Vec,100,cnn,2,80.46478770000022,78.77768719999995,0.9914694894146949,0.9901399067288474,0.9915932746196957,0.9908660577371825
Pt-BR_Word2Vec,100,cnn,3,79.47071069999993,74.91199570000026,0.9915317559153176,0.9915820416889364,0.9902588737656792,0.9909200160235011
Pt-BR_Word2Vec,100,cnn,4,81.99408029999995,87.53153329999986,0.9915317559153176,0.990795090715048,0.9910595142780891,0.9909272848565711
Pt-BR_Word2Vec,100,cnn,5,81.29934169999979,42.55836850000014,0.9917185554171856,0.9918481892289189,0.9903923138510808,0.9911197168992455
